Time,Global Mean Sea Level
6/15/1969,-39.1
7/15/1969,-41.1
8/15/1969,-38.9
9/15/1969,-37.9
10/15/1969,-36.5
11/15/1969,-37.9
12/15/1969,-39.4
1/15/1970,-38.8
2/15/1970,-37.6
3/15/1970,-38.2
4/15/1970,-41.1
5/15/1970,-41.3
6/15/1970,-41
7/15/1970,-42.6
8/15/1970,-41.9
9/15/1970,-42.4
10/15/1970,-38.7
11/15/1970,-38.6
12/15/1970,-37.1
1/15/1971,-34.9
2/15/1971,-31.7
3/15/1971,-30.7
4/15/1971,-31.4
5/15/1971,-35.2
6/15/1971,-37.7
7/15/1971,-38.5
8/15/1971,-36.5
9/15/1971,-33.1
10/15/1971,-33.5
11/15/1971,-35.9
12/15/1971,-37.6
1/15/1972,-34
2/15/1972,-29.2
3/15/1972,-25.3
4/15/1972,-24.6
5/15/1972,-22.6
6/15/1972,-20.2
7/15/1972,-19.1
8/15/1972,-23.1
9/15/1972,-25.7
10/15/1972,-27.9
11/15/1972,-26.9
12/15/1972,-28.5
1/15/1973,-33.2
2/15/1973,-33.6
3/15/1973,-34.6
4/15/1973,-31.7
5/15/1973,-33.8
6/15/1973,-32.7
7/15/1973,-34.4
8/15/1973,-34.4
9/15/1973,-34.5
10/15/1973,-31.6
11/15/1973,-24.7
12/15/1973,-19.9
1/15/1974,-15.4
2/15/1974,-16.5
3/15/1974,-17.6
4/15/1974,-17.4
5/15/1974,-17.7
6/15/1974,-18.3
7/15/1974,-20.4
8/15/1974,-22.1
9/15/1974,-23
10/15/1974,-23.8
11/15/1974,-22.6
12/15/1974,-21.8
1/15/1975,-21.1
2/15/1975,-20.2
3/15/1975,-18.7
4/15/1975,-20
5/15/1975,-21.3
6/15/1975,-23.4
7/15/1975,-23.4
8/15/1975,-22
9/15/1975,-21.3
10/15/1975,-20.7
11/15/1975,-20.5
12/15/1975,-22.7
1/15/1976,-22.9
2/15/1976,-25.7
3/15/1976,-24.4
4/15/1976,-23.2
5/15/1976,-22.5
6/15/1976,-20.4
7/15/1976,-21.6
8/15/1976,-23.5
9/15/1976,-22.2
10/15/1976,-22.6
11/15/1976,-19.7
12/15/1976,-19.5
1/15/1977,-20.9
2/15/1977,-23.6
3/15/1977,-25.4
4/15/1977,-27.6
5/15/1977,-27.1
6/15/1977,-26.5
7/15/1977,-25.5
8/15/1977,-24.8
9/15/1977,-23.8
10/15/1977,-23.1
11/15/1977,-21
12/15/1977,-18.3
1/15/1978,-15.7
2/15/1978,-12
3/15/1978,-13
4/15/1978,-13.3
5/15/1978,-17
6/15/1978,-18.5
7/15/1978,-19.9
8/15/1978,-18.3
9/15/1978,-18
10/15/1978,-17.7
11/15/1978,-22.2
12/15/1978,-25.2
1/15/1979,-28
2/15/1979,-26.9
3/15/1979,-25.8
4/15/1979,-26.1
5/15/1979,-27.5
6/15/1979,-27.1
7/15/1979,-24.7
8/15/1979,-19.9
9/15/1979,-17.3
10/15/1979,-14.9
11/15/1979,-17.2
